old item,item,condition,label,adverbial,adverbial 2,name,verbbreak/verbhit,object,verb surprisal,GPT-2 Verb,GPT-2 surprisal,adv alt,adv2 alt,name_alt,verb_alt,object_alt,sentence,alternative
3,1,break,break.1,星期天,中午,小明,除了,杂草,,除了,13.04792309,XX,膨胀,腼腆,亿万,驾驶,星期天 中午 小明 除了 杂草,XX 膨胀 腼腆 亿万 驾驶
14,1,hit,hit.1,星期天,中午,小明,吃了,面包,,吃了,11.10753345,XX,膨胀,腼腆,亿万,驾驶,星期天 中午 小明 吃了 面包,XX 膨胀 腼腆 亿万 驾驶
24,2,break,break.2,今天,早上,小红,发了,面团,,发了,15.37665939,XX,衡量,赞叹,残存,菱形,今天 早上 小红 发了 面团,XX 衡量 赞叹 残存 菱形
1,2,hit,hit.2,今天,早上,小红,做了,泡菜,,做了,13.82438755,XX,衡量,赞叹,残存,菱形,今天 早上 小红 做了 泡菜,XX 衡量 赞叹 残存 菱形
5,3,break,break.3,去年,夏天,小刚,杀了,母鸡,,杀了,16.04613495,XX,模糊,牲畜,旗帜,忽然,去年 夏天 小刚 杀了 母鸡,XX 模糊 牲畜 旗帜 忽然
5,3,hit,hit.3,去年,夏天,小刚,写了,报告,,写了,15.40277958,XX,模糊,牲畜,旗帜,忽然,去年 夏天 小刚 写了 报告,XX 模糊 牲畜 旗帜 忽然
10,4,break,break.4,一月的,时候,小军,救了,小猫,,救了,16.68725395,XX,必须,崎岖,宗旨,夹杂,一月的 时候 小军 救了 小猫,XX 必须 崎岖 宗旨 夹杂
17,4,hit,hit.4,一月的,时候,小军,教了,学生,,教了,17.03231239,XX,必须,崎岖,宗旨,夹杂,一月的 时候 小军 教了 学生,XX 必须 崎岖 宗旨 夹杂
19,5,break,break.5,星期四,早上,张三,修了,电视,,修了,17.01218224,XX,胳膊,腐烂,蛤蟆,折射,星期四 早上 张三 修了 电视,XX 胳膊 腐烂 蛤蟆 折射
24,5,hit,hit.5,星期四,早上,张三,提了,皮箱,,提了,17.2476635,XX,胳膊,腐烂,蛤蟆,折射,星期四 早上 张三 提了 皮箱,XX 胳膊 腐烂 蛤蟆 折射
